11 110
1 2 11990
1 3 2094
1 4 14337
1 5 13071
1 6 10741
1 7 10401
1 8 8832
1 9 4674
1 10 10943
1 11 13201
2 1 11990
2 3 12111
2 4 2351
2 5 1590
2 6 2609
2 7 2560
2 8 3515
2 9 10997
2 10 3559
2 11 2207
3 1 2094
3 2 12111
3 4 14240
3 5 13533
3 6 10183
3 7 9954
3 8 8623
3 9 2668
3 10 10029
3 11 13892
4 1 14337
4 2 2351
4 3 14240
4 5 1735
4 6 4101
4 7 4293
4 8 5657
4 9 12589
4 10 4524
4 11 2126
5 1 13071
5 2 1590
5 3 13533
5 4 1735
5 6 4143 
5 7 4138
5 8 5048
5 9 12585
5 10 4972
5 11 672
6 1 10741
6 2 2609
6 3 10183
6 4 4101
6 5 4143
6 7 452
6 8 2062
6 9 8572
6 10 1158
6 11 4794
7 1 10401
7 2 2560
7 3 9954
7 4 4293
7 5 4138
7 6 452
7 8 1642
7 9 8488
7 10 1540
7 11 4766
8 1 8832
8 2 3515
8 3 8623
8 4 5657
8 5 5048
8 6 2062
8 7 1642
8 9 7607
8 10 2857
8 11 5570
9 1 4674
9 2 10997
9 3 2668
9 4 12589
9 5 12585
9 6 8572
9 7 8488
9 8 7607
9 10 8072
9 11 13158
10 1 10943
10 2 3559
10 3 10029
10 4 4524
10 5 4972
10 6 1158
10 7 1540
10 8 2857
10 9 8072
10 11 5642
11 1 13201
11 2 2207
11 3 13892
11 4 2126
11 5 672
11 6 4794
11 7 4766
11 8 5570
11 9 13158
11 10 5642
